from,to,Beitrittsjahr,Aktualität
TH,VFBAG,2019,1
TH,VFBEV,2017,2
TH,NLZVFB,2017,2
TK,VFBAG,2021,1
OS,VFBAG,2015,1
OS,DFL,NA,1
CV,VFBAG,2019,1
CV,VFBEV,2016,1
CV,FPF,2017,1
WP,VFBAG,2014,1
WP,DAG,2009,1
WP,DBAG,1985,2
RA,VFBAG,2020,1
RA,VFBEV,2021,1
HJ,VFBAG,2014,1
HJ,AK,1991,1
FR,VFBAG,2016,1
FR,MBB,2003,2
FR,MBBAG,2011,2
FR,DFSAG,2011,2
FR,DMAG,2019,1
D,DMAG,NA,NA
D,DFSAG,NA,NA
D,MBBAG,NA,NA
D,MBB,NA,NA
D,DBAG,NA,NA
D,DAG,NA,NA
BS,VFBAG,2017,1
BS,RBG,1996,1
BS,FCG,2007,1
